S05587
24-06-2016_14:34:09
Saved at time: 516427969 milliseconds
Integration time: 4000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
459.52988888	2440.00000000
459.99586908	2787.00000000
460.46189590	2835.00000000
460.92796931	2414.00000000
461.39408926	2770.00000000
461.86025571	2502.00000000
462.32646864	2681.00000000
462.79272800	2661.00000000
463.25903377	2773.00000000
463.72538589	2752.00000000
464.19178433	2597.00000000
464.65822906	2420.00000000
465.12472005	2609.00000000
465.59125725	2596.00000000
466.05784062	2659.00000000
466.52447013	2601.00000000
466.99114575	2448.00000000
467.45786744	2545.00000000
467.92463515	2502.00000000
468.39144886	2499.00000000
468.85830852	2341.00000000
469.32521410	2478.00000000
469.79216557	2589.00000000
470.25916288	2474.00000000
470.72620600	2539.00000000
471.19329489	2366.00000000
471.66042952	2440.00000000
472.12760985	2556.00000000
472.59483583	2471.00000000
473.06210745	2427.00000000
473.52942465	2629.00000000
473.99678740	2759.00000000
474.46419567	2186.00000000
474.93164941	2471.00000000
475.39914860	2511.00000000
475.86669319	2239.00000000
476.33428315	2649.00000000
476.80191844	2432.00000000
477.26959902	2549.00000000
477.73732486	2330.00000000
478.20509592	2402.00000000
478.67291216	2470.00000000
479.14077355	2543.00000000
479.60868006	2451.00000000
480.07663163	2554.00000000
480.54462824	2316.00000000
481.01266985	2612.00000000
481.48075642	2587.00000000
481.94888792	2801.00000000
482.41706430	2668.00000000
482.88528554	2925.00000000
483.35355160	3057.00000000
483.82186243	3361.00000000
484.29021801	3586.00000000
484.75861829	3608.00000000
485.22706324	3787.00000000
485.69555282	4271.00000000
486.16408699	4339.00000000
486.63266573	4264.00000000
487.10128898	4247.00000000
487.56995672	4411.00000000
488.03866891	4251.00000000
488.50742551	3943.00000000
488.97622648	3842.00000000
489.44507179	3403.00000000
489.91396139	3615.00000000
490.38289527	3408.00000000
490.85187337	3794.00000000
491.32089566	3766.00000000
491.78996210	3742.00000000
492.25907266	3386.00000000
492.72822730	2566.00000000
493.19742598	3387.00000000
493.66666867	3306.00000000
494.13595533	3250.00000000
494.60528591	3101.00000000
495.07466040	3176.00000000
495.54407874	2963.00000000
496.01354091	2965.00000000
496.48304686	2841.00000000
496.95259656	2892.00000000
497.42218997	2938.00000000
497.89182706	2488.00000000
498.36150779	2723.00000000
498.83123211	2601.00000000
499.30100000	2509.00000000
499.77081142	2632.00000000
500.24066633	2610.00000000
500.71056469	2379.00000000
501.18050648	2379.00000000
501.65049164	2497.00000000
502.12052014	2419.00000000
502.59059195	2421.00000000
503.06070704	2251.00000000
503.53086535	1928.00000000
504.00106686	1714.00000000
504.47131154	2224.00000000
504.94159933	2188.00000000
505.41193021	2075.00000000
505.88230414	2350.00000000
506.35272109	2358.00000000
506.82318101	2387.00000000
507.29368386	2222.00000000
507.76422962	2373.00000000
508.23481825	2297.00000000
508.70544970	2115.00000000
509.17612395	2100.00000000
509.64684095	2265.00000000
510.11760067	2274.00000000
510.58840307	2317.00000000
511.05924812	2278.00000000
511.53013577	2322.00000000
512.00106600	2229.00000000
512.47203875	2363.00000000
512.94305401	2154.00000000
513.41411173	2149.00000000
513.88521187	2241.00000000
514.35635440	2181.00000000
514.82753927	1922.00000000
515.29876647	2002.00000000
515.77003593	2180.00000000
516.24134764	1923.00000000
516.71270155	2190.00000000
517.18409763	2262.00000000
517.65553584	2219.00000000
518.12701614	2108.00000000
518.59853850	2259.00000000
519.07010287	1710.00000000
519.54170923	2150.00000000
520.01335753	1821.00000000
520.48504774	2097.00000000
520.95677983	2146.00000000
521.42855375	2002.00000000
521.90036946	2008.00000000
522.37222694	1976.00000000
522.84412615	2023.00000000
523.31606704	2113.00000000
523.78804958	2093.00000000
524.26007374	2082.00000000
524.73213947	2094.00000000
525.20424675	2092.00000000
525.67639553	2059.00000000
526.14858578	2237.00000000
